Frequency, Amplitude
1624,411011  0,000103
1625,756836  0,000102
1627,102661  0,000103
1628,448486  0,000101
1629,794312  0,000101
1631,140137  0,000101
1632,485962  0,000101
1633,831787  0,000100
1635,177612  0,000100
1636,523438  0,000101
1637,869263  0,000100
1639,215088  0,000099
1640,560913  0,000100
1641,906738  0,000100
1643,252563  0,000099
1644,598389  0,000099
1645,944214  0,000098
1647,290039  0,000099
1648,635864  0,000099
1649,981689  0,000099
1651,327515  0,000099
1652,673340  0,000099
1654,019165  0,000097
1655,364990  0,000099
1656,710815  0,000097
1658,056641  0,000098
1659,402466  0,000098
1660,748291  0,000096
1662,094116  0,000096
1663,439941  0,000096
1664,785767  0,000096
1666,131592  0,000097
1667,477417  0,000096
1668,823242  0,000096
1670,169067  0,000095
1671,514893  0,000096
1672,860718  0,000096
1674,206543  0,000096
1675,552368  0,000095
1676,898193  0,000095
1678,244019  0,000094
1679,589844  0,000095
1680,935669  0,000095
1682,281494  0,000095
1683,627319  0,000094
1684,973145  0,000093
1686,318970  0,000094
1687,664795  0,000094
1689,010620  0,000096
1690,356445  0,000093
1691,702271  0,000093
1693,048096  0,000093
1694,393921  0,000093
1695,739746  0,000093
1697,085571  0,000093
1698,431396  0,000092
1699,777222  0,000092
1701,123047  0,000092
1702,468872  0,000092
1703,814697  0,000092
1705,160522  0,000091
1706,506348  0,000092
1707,852173  0,000091
1709,197998  0,000092
1710,543823  0,000091
1711,889648  0,000091
1713,235474  0,000091
1714,581299  0,000091
1715,927124  0,000091
1717,272949  0,000090
1718,618774  0,000090
1719,964600  0,000090
1721,310425  0,000090
1722,656250  0,000090
1724,002075  0,000090
1725,347900  0,000090
1726,693726  0,000089
1728,039551  0,000089
1729,385376  0,000089
1730,731201  0,000089
1732,077026  0,000089
1733,422852  0,000089
1734,768677  0,000089
1736,114502  0,000088
1737,460327  0,000089
1738,806152  0,000088
1740,151978  0,000088
1741,497803  0,000088
1742,843628  0,000088
1744,189453  0,000088
1745,535278  0,000087
1746,881104  0,000087
1748,226929  0,000087
1749,572754  0,000087
1750,918579  0,000087
1752,264404  0,000087
1753,610229  0,000086
1754,956055  0,000086
1756,301880  0,000113
1757,647705  0,000087
1758,993530  0,000087
1760,339355  0,000086
1761,685181  0,000086
1763,031006  0,000086
1764,376831  0,000086
1765,722656  0,000086
1767,068481  0,000085
1768,414307  0,000085
1769,760132  0,000085
1771,105957  0,000085
1772,451782  0,000085
1773,797607  0,000085
1775,143433  0,000085
1776,489258  0,000085
1777,835083  0,000085
1779,180908  0,000085
1780,526733  0,000084
1781,872559  0,000084
1783,218384  0,000084
1784,564209  0,000084
1785,910034  0,000084
1787,255859  0,000084
1788,601685  0,000084
1789,947510  0,000084
1791,293335  0,000083
1792,639160  0,000083
1793,984985  0,000083
